Name,Age,Occupation,Gender,Location,Room Type,Hostel Availability,Rating
Tranquil Residency Living,25,Business Owner,Male,Delhi,Dormitory,Yes,1
The Urban Nest Residency,41,Business Owner,Other,Mumbai,Dormitory,Yes,5
Comfort Inn Inn,38,Software Engineer,Female,Kolkata,Dormitory,No,2
Blue Sky PG Residency,29,Teacher,Female,Kolkata,Dormitory,Yes,1
Sunrise PG Residency,27,Freelancer,Other,Delhi,Dormitory,Yes,5
Royal Residency Stay,25,Artist,Other,Chennai,Single,Yes,5
Royal Residency Stay,19,Teacher,Female,Chennai,Dormitory,Yes,2
Cozy Nest Living,33,Teacher,Male,Kolkata,Single,No,3
Sunrise PG Living,42,Software Engineer,Male,Hyderabad,Dormitory,No,1
The Urban Nest Residency,20,Doctor,Male,Delhi,Dormitory,No,5
Safe Haven Residency,32,Doctor,Other,Bangalore,Dormitory,Yes,4
Maple PG Residency,34,Freelancer,Other,Bangalore,Single,No,1
City Comforts Stay,30,Teacher,Female,Chennai,Shared,No,3
The Urban Nest Inn,44,Business Owner,Female,Delhi,Dormitory,Yes,3
NestAway PG Residency,44,Student,Female,Chennai,Single,Yes,2
Golden Acres PG Living,41,Artist,Other,Mumbai,Shared,No,4
Skyline PG Residency,32,Doctor,Male,Mumbai,Single,Yes,3
Pearl Residency Lodge,32,Doctor,Male,Mumbai,Shared,Yes,5
Urban Habitat Lodge,27,Teacher,Other,Ahmedabad,Shared,Yes,2
Harmony Living Lodge,39,Business Owner,Female,Ahmedabad,Single,Yes,5
Safe Haven Inn,20,Student,Female,Chennai,Single,Yes,3
Maple PG Residency,26,Freelancer,Other,Delhi,Dormitory,Yes,4
Greenwood PG Inn,24,Freelancer,Male,Hyderabad,Dormitory,Yes,3
Sunrise PG Residency,45,Artist,Male,Kolkata,Shared,Yes,3
Sunrise PG Stay,24,Software Engineer,Female,Kolkata,Shared,Yes,3
Cozy Nest Inn,29,Doctor,Female,Hyderabad,Single,No,5
Blue Sky PG Stay,41,Software Engineer,Male,Ahmedabad,Shared,Yes,2
Safe Haven Inn,20,Freelancer,Female,Bangalore,Single,No,1
Harmony Living Living,19,Business Owner,Female,Pune,Dormitory,Yes,3
Cozy Nest Stay,18,Artist,Male,Chennai,Single,No,3
The Urban Nest Residency,24,Artist,Male,Kolkata,Shared,Yes,5
Maple PG Inn,31,Teacher,Other,Pune,Dormitory,Yes,2
Elite Stay Stay,38,Student,Male,Ahmedabad,Single,Yes,1
Elite Stay Stay,33,Teacher,Male,Ahmedabad,Dormitory,Yes,3
Cozy Nest Living,30,Doctor,Other,Kolkata,Dormitory,No,2
NestAway PG Living,29,Student,Male,Ahmedabad,Dormitory,No,1
Lotus Living Living,33,Teacher,Other,Ahmedabad,Shared,No,4
Comfort Inn Living,36,Student,Female,Chennai,Dormitory,No,2
Golden Acres PG Residency,33,Doctor,Male,Ahmedabad,Shared,Yes,3
Infinity PG Stay,31,Business Owner,Other,Kolkata,Single,No,1
Urban Habitat Inn,22,Student,Female,Chennai,Dormitory,Yes,5
Happy Homes Stay,26,Teacher,Other,Delhi,Single,Yes,3
Tranquil Residency Living,36,Artist,Other,Kolkata,Dormitory,Yes,1
NestAway PG Stay,35,Business Owner,Male,Delhi,Single,No,5
Sunrise PG Residency,29,Artist,Female,Chennai,Single,Yes,5
Happy Homes Residency,26,Artist,Other,Chennai,Dormitory,Yes,2
Urban Habitat Living,19,Doctor,Male,Kolkata,Single,No,1
