Name,Budget,Lease Duration,Furnishing,Smoking/Drinking,Guests Allowed,Daily Routine
Preeti_378,15000,Short-term,Semi-furnished,Occasionally,Yes,Day Scholar
Bhavya_432,10000,Short-term,Semi-furnished,No,No,Day Scholar
Gaurav_223,10000,Short-term,Furnished,Yes,No,Day Scholar
Tanya_473,20000,Short-term,Furnished,No,No,Night Owl
Krishna_48,20000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Ishita_366,5000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Divya_230,7000,Short-term,Unfurnished,No,Yes,Day Scholar
Vikram_422,12000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Sneha_179,5000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Vihaan_467,15000,Short-term,Unfurnished,Yes,No,Night Owl
Sneha_130,10000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Riya_333,25000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Gaurav_336,15000,Short-term,Furnished,Yes,No,Day Scholar
Rohan_183,12000,Short-term,Semi-furnished,Yes,No,Day Scholar
Gaurav_273,12000,Long-term,Furnished,No,Yes,Night Owl
Meera_287,20000,Short-term,Unfurnished,No,Occasionally,Night Owl
Krishna_460,20000,Long-term,Furnished,No,Yes,Day Scholar
Rohan_223,20000,Short-term,Furnished,Yes,Yes,Day Scholar
Rajesh_498,15000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Neha_49,10000,Short-term,Semi-furnished,Occasionally,No,Day Scholar
Swati_356,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Aniket_254,20000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Rekha_206,12000,Long-term,Semi-furnished,No,No,Night Owl
Ananya_370,10000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Aanya_166,25000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Kabir_170,20000,Long-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Riya_409,15000,Short-term,Furnished,No,No,Day Scholar
Arjun_333,20000,Short-term,Furnished,Yes,No,Night Owl
Tanya_304,5000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Aniket_236,20000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Saanvi_37,20000,Short-term,Furnished,Occasionally,No,Day Scholar
Gaurav_395,15000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Vikram_10,5000,Long-term,Unfurnished,Yes,No,Night Owl
Rahul_17,25000,Short-term,Furnished,No,Yes,Day Scholar
Aniket_296,7000,Long-term,Furnished,Yes,No,Day Scholar
Bhavya_160,15000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Vikram_88,20000,Short-term,Semi-furnished,Yes,No,Day Scholar
Rahul_121,15000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Pallavi_363,15000,Long-term,Semi-furnished,No,No,Day Scholar
Arjun_80,5000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Aanya_493,12000,Short-term,Semi-furnished,No,Yes,Night Owl
